-120,-119,-118,-117,-116,-115,-114,-113,-112,-111,-110,-109,-108,-107,-106,-105,-104,-103,-102,-101,-100,-99,-98,-97,-96,-95,-94,-93,-92,-91,-90,-89,-88,-87,-86,-85,-84,-83,-82,-81,-80,-79,-78,-77,-76,-75,-74,-73,-72,-71,-70,-69,-68,-67,-66,-65,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.0029197,0.0031727,0.0034475,0.0037459,0.0040701,0.0044223,0.0048048,0.0052201,0.0056712,0.006161,0.0066929,0.0072703,0.0078971,0.0085775,0.009316,0.010117,0.010987,0.01193,0.012954,0.014064,0.015267,0.016572,0.017986,0.019519,0.021179,0.022977,0.024924,0.027032,0.029312,0.031779,0.034445,0.037327,0.04044,0.0438,0.047426,0.051336,0.055549,0.060087,0.064969,0.070219,0.075858,0.081911,0.0884,0.095349,0.10278,0.11073,0.1192,0.12823,0.13784,0.14805,0.15887,0.17032,0.18243,0.19518,0.20861,0.2227,0.23746,0.25288,0.26894,0.28564,0.30294,0.32082,0.33924,0.35817,0.37754,0.39731,0.41743,0.43782,0.45843,0.47918,0.5,0.52082,0.54157,0.56218,0.58257,0.60269,0.62246,0.64183,0.66076,0.67918,0.69706,0.71436,0.73106,0.74712,0.76254,0.7773,0.79139,0.80482,0.81757,0.82968,0.84113,0.85195,0.86216,0.87177,0.8808,0.88927,0.89722,0.90465,0.9116,0.91809,0.92414,0.92978,0.93503,0.93991,0.94445,0.94866,0.95257,0.9562,0.95956,0.96267,0.96555,0.96822,0.97069,0.97297,0.97508,0.97702,0.97882,0.98048,0.98201,0.98343,0.98473,0.98594,0.98705,0.98807,0.98901,0.98988,0.99068,0.99142,0.9921,0.99273,0.99331,0.99384,0.99433,0.99478,0.9952,0.99558,0.99593,0.99625,0.99655,0.99683,0.99708,0.99731,0.99753,0.99772,0.99791,0.99807,0.99823,0.99837,0.9985,0.99862,0.99873,0.99883,0.99892,0.99901,0.99909,0.99916,0.99923,0.99929,0.99935,0.9994,0.99945,0.99949,0.99953,0.99957,0.9996,0.99964,0.99966,0.99969,0.99972,0.99974,0.99976
-120,-119,-118,-117,-116,-115,-114,-113,-112,-111,-110,-109,-108,-107,-106,-105,-104,-103,-102,-101,-100,-99,-98,-97,-96,-95,-94,-93,-92,-91,-90,-89,-88,-87,-86,-85,-84,-83,-82,-81,-80,-79,-78,-77,-76,-75,-74,-73,-72,-71,-70,-69,-68,-67,-66,-65,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.99331,0.99273,0.9921,0.99142,0.99068,0.98988,0.98901,0.98807,0.98705,0.98594,0.98473,0.98343,0.98201,0.98048,0.97882,0.97702,0.97508,0.97297,0.97069,0.96822,0.96555,0.96267,0.95956,0.9562,0.95257,0.94866,0.94445,0.93991,0.93503,0.92978,0.92414,0.91809,0.9116,0.90465,0.89722,0.88927,0.8808,0.87177,0.86216,0.85195,0.84113,0.82968,0.81757,0.80482,0.79139,0.7773,0.76254,0.74712,0.73106,0.71436,0.69706,0.67918,0.66076,0.64183,0.62246,0.60269,0.58257,0.56218,0.54157,0.52082,0.5,0.47918,0.45843,0.43782,0.41743,0.39731,0.37754,0.35817,0.33924,0.32082,0.30294,0.28564,0.26894,0.25288,0.23746,0.2227,0.20861,0.19518,0.18243,0.17032,0.15887,0.14805,0.13784,0.12823,0.1192,0.11073,0.10278,0.095349,0.0884,0.081911,0.075858,0.070219,0.064969,0.060087,0.055549,0.051336,0.047426,0.0438,0.04044,0.037327,0.034445,0.031779,0.029312,0.027032,0.024924,0.022977,0.021179,0.019519,0.017986,0.016572,0.015267,0.014064,0.012954,0.01193,0.010987,0.010117,0.009316,0.0085775,0.0078971,0.0072703,0.0066929,0.006161,0.0056712,0.0052201,0.0048048,0.0044223,0.0040701,0.0037459,0.0034475,0.0031727,0.0029197,0.0026869,0.0024726,0.0022754,0.0020938,0.0019267,0.001773,0.0016314,0.0015012,0.0013813,0.001271,0.0011695,0.0010761,0.00099015,0.00091105,0.00083827,0.0007713,0.00070967,0.00065297,0.00060079,0.00055278,0.0005086,0.00046796,0.00043056,0.00039615,0.00036448,0.00033535,0.00030855,0.00028388,0.00026119,0.00024031,0.0002211,0.00020343,0.00018716,0.0001722,0.00015844,0.00014577,0.00013412,0.00012339,0.00011353,0.00010445
